There are	2	connected components in the undirected copy of the twitter graph
1	connected components with  	3008	nodes
1	connected components with  	2	nodes
There are	819	strongly connected components in the directed twitter graph
1	strongly connected components with  	33	nodes
22	strongly connected components with  	2	nodes
4	strongly connected components with  	3	nodes
1	strongly connected components with  	4	nodes
1	strongly connected components with  	37	nodes
786	strongly connected components with  	1	nodes
1	strongly connected components with  	23	nodes
1	strongly connected components with  	2010	nodes
1	strongly connected components with  	30	nodes
1	strongly connected components with  	31	nodes
